,Arched_Eyebrows,Bags_Under_Eyes,Bangs,Black_Hair,Blond_Hair,Brown_Hair,Bushy_Eyebrows,Chubby,Eyeglasses,Heavy_Makeup,Male,No_Beard,Pale_Skin,Receding_Hairline,Smiling,Wavy_Hair,Wearing_Necktie,Young
z1,0.92472076,0.024266668,-0.002215423,0.06093929,0.054253783,0.061624125,0.02500547,-0.00075280754,-0.0016196286,0.15822384,-0.0014831129,0.22437811,-0.00027384658,-0.0016147862,0.08627336,0.089381546,-0.00034918005,0.18272765
z2,0.011315942,1.0001215,-0.0020653175,0.0064525716,-0.00036210628,0.0046007936,0.013936584,0.026578298,-0.0008033913,-0.0019061498,0.15730394,0.35263008,0.11997246,0.06073175,0.08068107,0.004195243,0.045648247,0.08316623
z3,-0.0015872932,-0.00056981476,0.96943915,-0.0011096688,0.016396424,0.047371887,0.010630819,-0.00094825315,0.015220663,0.08407973,0.032584157,0.08805226,-0.0017023728,-0.0016139094,0.09286547,0.004441414,-0.0014307038,0.10037928
z4,0.047987863,-0.0016306974,0.006601274,1.0004448,-0.0029731847,0.03448184,0.06586268,-0.0010676278,-0.00013574713,-0.0009927942,-0.0010453798,0.15495732,-0.0026263194,-0.0027415906,0.0761115,0.021656737,0.005491317,0.18193579
z5,0.05203095,0.001163383,0.055036776,0.0043282355,1.0003386,0.0811974,0.32276174,-4.284161e-05,-0.0031574375,0.21465175,0.054525845,0.3086177,0.15916947,0.3670299,0.19500023,0.16076304,0.05528396,0.23407392
z6,0.19681168,0.2915683,0.29175305,0.05176586,0.67761564,0.9895781,0.1700889,-0.0011509261,0.5993969,0.14653565,0.15494078,0.3527746,0.36526996,0.08890568,0.26144236,0.2847469,0.17296067,0.4407132
z7,0.009218587,0.0133133475,-0.00018743153,-0.0028434854,-0.0008695116,0.00059283717,1.0017054,-0.0013098966,-0.0015758298,-0.0026092138,-0.0022127912,0.039811544,-0.00078594516,-0.0017758049,0.053765435,0.027496558,-0.00027359737,-0.0005583896
z8,-0.00037769432,0.009294097,-9.464845e-05,-0.0013377878,-0.0020686537,-0.0012249228,-0.0031401343,1.0028505,-0.00010546144,-0.0011469659,-0.001995158,-0.0010876454,-0.001624548,-0.0009805424,0.007542467,-0.0021798317,-0.0010652588,-0.001031541
z9,-0.00081376865,-0.0026174881,-0.0016014571,-0.00040457348,-0.00060223363,-0.0006335321,-0.0022683253,-0.0015694263,1.0000695,-0.0013594748,-0.0014492074,-0.0026804325,-0.0014744694,-4.9291044e-05,-0.0020386146,-0.0028951091,-0.0014716624,-1.1186513e-05
z10,0.16050819,-3.978974e-05,0.07306106,-0.0009941546,0.062599644,0.08159673,0.0587552,-0.00082517357,-0.0029824483,1.0011244,-0.0029427898,0.3433761,-9.2119364e-05,-0.0004846275,0.21377318,-0.0002366969,-0.00051266747,0.15087517
z11,0.10955152,0.12455719,0.5340581,0.17145716,0.0074506304,0.07503714,0.13132319,0.040062018,0.09647391,0.43524536,1.002954,0.43974933,0.7673187,0.20914514,0.6376365,0.27286407,0.12745082,0.32657978
z12,0.529875,0.27330616,1.0005937,0.3073599,0.36333585,0.72443765,0.84978133,0.24166377,1.0019789,0.81434083,0.3393429,0.99300635,1.0020323,0.26985484,0.8366892,0.7389333,1.000592,1.0001137
z13,0.22127976,0.100426465,0.19404826,0.18869631,0.84885836,0.3760325,0.25608942,0.37802595,0.44035876,0.15222532,0.15259157,0.13700266,1.0024953,0.7455102,0.13900636,0.09643422,0.15232559,0.25725833
z14,0.8536078,0.14439502,0.758257,0.29214928,0.12525806,0.042051125,0.21991973,0.18223922,0.57538044,0.08736591,0.28366926,0.18407457,0.03272235,1.0002222,0.16088511,0.53940654,0.63321596,0.18574582
z15,0.2022424,0.16304664,0.13708575,0.15973665,0.4846325,0.10507488,0.18221621,0.042145677,0.04958802,0.33071238,0.3603388,0.576653,0.40650967,0.22594622,1.0005246,0.35396883,0.07028597,0.44800845
z16,0.87444055,0.36986855,0.78225493,0.25793374,0.68709993,0.16300093,0.15255195,0.06317661,0.34669122,0.27661172,0.19993576,0.3871135,0.3536517,0.18701677,0.62811875,1.0001044,0.49480698,0.41220498
z17,-0.00035575958,0.007100251,-0.0021719686,-0.0017569141,-0.0004126977,-0.0018561399,-0.0019698646,-0.0004494012,-0.0005923698,-0.0030841455,-0.00015531624,0.02603254,0.0152059095,0.0058490997,0.026987297,-0.00024100221,1.0017613,-0.0011438067
z18,0.3679701,0.5863283,0.32475528,0.38835454,0.20157182,0.26278728,0.22276789,0.11989249,0.07767074,0.49669102,0.30420205,0.8810357,0.7909533,0.20481713,0.6453033,0.32549277,0.5874318,1.0000322
